Matrix
"[[0.20872455113584443, 0.36549994588345025], [0.6203291278875039, 0.710797210797909]]"
"[[0.45169501307095705, 0.5768766129594809], [0.2886530870087324, 0.01219863730983195]]"
"[[0.0578116225206492, 0.5469896280602907], [0.548008295025414, 0.3142136950962755]]"
"[[0.8323280230037892, 0.050681909347359166], [0.4236846023181756, 0.5167601306879198]]"
"[[0.8197988028974841, 0.7253666564769553], [0.9207084065633839, 0.6024030365086843]]"
"[[0.12204291443535731, 0.9153998887160862], [0.30422572570473194, 0.2638339378196173]]"
"[[0.9103586798417364, 0.7638034587696836], [0.12758592119548307, 0.13543381203397875]]"
"[[0.43571029014106943, 0.21883863696695993], [0.5108645514399269, 0.4666691183853757]]"
"[[0.4613672343624158, 0.5435438175628411], [0.3553203491615532, 0.8307224013228264]]"
"[[0.5489649331945503, 0.8088747388332233], [0.43532409747001544, 0.7262480942243258]]"
"[[0.05779148336994233, 0.5960112598922876], [0.338384789045057, 0.12694357081732577]]"
"[[0.23049974827701758, 0.065090215001542], [0.16653840592878433, 0.9234285469351013]]"
"[[0.24452815112688908, 0.9800341743953155], [0.6057017361213853, 0.7391278517658189]]"
"[[0.2145740837791451, 0.8259789286808129], [0.8606137830802196, 0.9792770903561329]]"
"[[0.20450848447241876, 0.5654334899550866], [0.03710329939569468, 0.029622573828073984]]"
"[[0.14633109007240597, 0.8207379525612643], [0.16598719383860827, 0.400103815411871]]"
"[[0.7183648017717961, 0.16460837795390781], [0.37473903284605004, 0.642685574144689]]"
"[[0.10140752656858909, 0.16779355292003062], [0.7895511407700415, 0.53120567996404]]"
"[[0.33597440501132536, 0.2897199221012047], [0.6883165649517927, 0.946083792619773]]"
"[[0.9878466800782921, 0.4644471361404542], [0.7100802996678195, 0.29849593527363594]]"
"[[0.9479385543437298, 0.74054318713763], [0.7094737824360409, 0.6882517548054422]]"
"[[0.558203443612464, 0.9424238357933338], [0.9483679529194659, 0.036406273565621095]]"
"[[0.7605483374283158, 0.5313269041478753], [0.2650453050760089, 0.38936251024578306]]"
"[[0.26861310128314786, 0.8589347033282192], [0.9131546601304098, 0.9786720220008909]]"
"[[0.18546356729156388, 0.599008041982061], [0.0481892679851289, 0.36500678578208656]]"
"[[0.519740196762275, 0.6018654222202998], [0.8137054197407265, 0.2035772920952209]]"
"[[0.3747087348301018, 0.4186810321004084], [0.5650292643980455, 0.4170201876201943]]"
"[[0.1669502746303625, 0.8612810496416833], [0.9547004432362285, 0.9889653120449978]]"
"[[0.5582734218533483, 0.5916933716173037], [0.03443145250504642, 0.954686431429481]]"
"[[0.9882559536832954, 0.3122053233281262], [0.03740373035290745, 0.5175440594277891]]"
"[[0.7960227070419837, 0.6625715229613934], [0.33121427379804325, 0.4997638537811703]]"
"[[0.9158533201859759, 0.32240263145364656], [0.9555476504650824, 0.10072412916770523]]"
"[[0.2705448574578243, 0.5421054357276626], [0.06940364402945676, 0.8088238148619474]]"
"[[0.004928511028274629, 0.5211122657433882], [0.8107391522857377, 0.5338303301927978]]"
"[[0.545793179850212, 0.9999447805141574], [0.25396373694590146, 0.4603907967043779]]"
"[[0.042520941817732916, 0.20058424920063922], [0.7817664854012537, 0.4327659339775808]]"
"[[0.04486073115158662, 0.9227789625662788], [0.8058624275076982, 0.8297241253675065]]"
"[[0.9103825521731388, 0.5217461158943024], [0.5828044374931829, 0.7959094141693859]]"
"[[0.012981104013703115, 0.49398269016879126], [0.48175158085849046, 0.30346239335567005]]"
"[[0.24072129295952438, 0.7319363639024378], [0.6816745099751462, 0.6785561149585334]]"
"[[0.7826927898705893, 0.010504019652560093], [0.0014619998184278726, 0.24093942424246662]]"
"[[0.020505054125031452, 0.30057507629016944], [0.2041044375557215, 0.1288321834861339]]"
"[[0.729551507519574, 0.33017260393402914], [0.1807954424637691, 0.8191786797404199]]"
"[[0.5253367513040674, 0.3120479716031007], [0.9580862043021761, 0.3467329234105241]]"
